Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ221915.1		none				M	D	
PZ221917.1		none				M	D	
PZ221922.1		none				M	D	
PZ221927.1		none				M	D	
PZ136053.1		none				M	D	
PZ136058.1		none				M	D	
PQ273182.1		none				M	D	
PQ273184.1		none				M	D	
PQ273185.1		none				M	D	
PQ273187.1		none				M	D	
PQ273190.1		none				M	D	
PQ273200.1		none				M	D	
PQ304633.1		none				M	D	
PQ310459.1		none				M	D	
OR536466.1		none				M	D	
OR536467.1		none				M	D	
OR536468.1		none				M	D	
OR536469.1		none				M	D	
OR536470.1		none				M	D	
OR536472.1		none				M	D	
OR536473.1		none				M	D	
OR536476.1		none				M	D	
OR536477.1		none				M	D	
OR536478.1		none				M	D	
OR536479.1		none				M	D	
OR536480.1		none				M	D	
OR536481.1		none				M	D	
OR536482.1		none				M	D	
OR536483.1		none				M	D	
OR536484.1		none				M	D	
OR536485.1		none				M	D	
OR536486.1		none				M	D	
OR536487.1		none				M	D	
OR536488.1		none				M	D	
OR536489.1		none				M	D	
OR536490.1		none				M	D	
OR536491.1		none				M	D	
OR536492.1		none				M	D	
OP901692.1		none				M	D	
OP901693.1		none				M	D	
OQ342793.1		none				M	D	
OP686904.1		none				M	D	
OP690425.1		none				M	D	
OP690426.1		none				M	D	
OP690505.1		none				M	D	
OP712196.1		none				M	D	
OP712197.1		none				M	D	
ON569431.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898511.1		none				M	D	
OL898513.1		none				M	D	
OL913975.1		none				M	D	
OL943801.1		none				M	D	
NC_040876.1		none				M	D	
NC_044932.1		none				M	D	
MZ312111.1		none				M	D	
MW981327.1		none				M	D	
MW661274.1		none				M	D	
MW661275.1		none				M	D	
MW661284.1		none				M	D	
MW243610.2		none				M	D	
MW305737.1		none				M	D	
MT729788.1		none				M	D	
MT731279.1		none				M	D	
MT755733.1		none				M	D	
MN897754.1		none				M	D	
MT232050.1		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MK753015.1		none				M	D	
MK641589.1		none				M	D	
MK483908.2		none				M	D	
MH979230.1		none				M	D	
MH218570.1		none				M	D	
MH218571.1		none				M	D	
MH218572.1		none				M	D	
MH218573.1		none				M	D	
MH218574.1		none				M	D	
MH218575.1		none				M	D	
MH218576.1		none				M	D	
MH218577.1		none				M	D	
MH218578.1		none				M	D	
MH218579.1		none				M	D	
MH218580.1		none				M	D	
MH218581.1		none				M	D	
MH218582.1		none				M	D	
MH218583.1		none				M	D	
MH218584.1		none				M	D	
MH218585.1		none				M	D	
MH218586.1		none				M	D	
MH218587.1		none				M	D	
MH218588.1		none				M	D	
MH218589.1		none				M	D	
MH218590.1		none				M	D	
MH218592.1		none				M	D	
MH218593.1		none				M	D	
MH218594.1		none				M	D	
MH218595.1		none				M	D	
MH218596.1		none				M	D	
MH218597.1		none				M	D	
MH218598.1		none				M	D	
MH218599.1		none				M	D	
MH218600.1		none				M	D	
MH218601.1		none				M	D	
MH218602.1		none				M	D	
MH218603.1		none				M	D	
MH218604.1		none				M	D	
MH218614.1		none				M	D	
MH218618.1		none				M	D	
MH218620.1		none				M	D	
MH218621.1		none				M	D	
MH218622.1		none				M	D	
MH218623.1		none				M	D	
MH218630.1		none				M	D	
MH218634.1		none				M	D	
MH218635.1		none				M	D	
MH218637.1		none				M	D	
MH218639.1		none				M	D	
MH218640.1		none				M	D	
MH218642.1		none				M	D	
MH218643.1		none				M	D	
MH218644.1		none				M	D	
MH218645.1		none				M	D	
MH218646.1		none				M	D	
MH218650.1		none				M	D	
MH218653.1		none				M	D	
MH218654.1		none				M	D	
MH218658.1		none				M	D	
MH218660.1		none				M	D	
MH218666.1		none				M	D	
MH218667.1		none				M	D	
MH218668.1		none				M	D	
MH218669.1		none				M	D	
MH218671.1		none				M	D	
MH218672.1		none				M	D	
MH218673.1		none				M	D	
MH218675.1		none				M	D	
MH218676.1		none				M	D	
MH218677.1		none				M	D	
MH218678.1		none				M	D	
MH218679.1		none				M	D	
MH218680.1		none				M	D	
MH218681.1		none				M	D	
MH218682.1		none				M	D	
MH218683.1		none				M	D	
MH218686.1		none				M	D	
MH218687.1		none				M	D	
MH218688.1		none				M	D	
MH218690.1		none				M	D	
MH218693.1		none				M	D	
MH218696.1		none				M	D	
MH218698.1		none				M	D	
MH218703.1		none				M	D	
MH218704.1		none				M	D	
MH218706.1		none				M	D	
MH218712.1		none				M	D	
MH218713.1		none				M	D	
MH218717.1		none				M	D	
MH218719.1		none				M	D	
MH218732.1		none				M	D	
MH218738.1		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG706448.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC769681.1		none				M	D	
LC769682.1		none				M	D	
LC769689.1		none				M	D	
LC769700.1		none				M	D	
LC769701.1		none				M	D	
LC769702.1		none				M	D	
LC769704.1		none				M	D	
LC769706.1		none				M	D	
LC769709.1		none				M	D	
LC769712.1		none				M	D	
LC769713.1		none				M	D	
LC769715.1		none				M	D	
KT779557.1		none				M	D	
KF895841.2		none				M	D	
KF920739.4		none				M	D	
KF944110.2		none				M	D	
KF944111.3		none				M	D	
GU292831.4		none				M	D	
PZ136054.1		none				M	D	
PZ136057.1		none				M	D	
PV636607.1		none				M	D	
PQ461161.1		none				M	D	
PV553834.1		none				M	D	
OR536443.1		none				M	D	
OR536445.1		none				M	D	
OR536446.1		none				M	D	
OR536448.1		none				M	D	
OR536449.1		none				M	D	
OR536451.1		none				M	D	
OR536452.1		none				M	D	
OR536453.1		none				M	D	
OR536455.1		none				M	D	
OR536456.1		none				M	D	
OR536461.1		none				M	D	
OR536463.1		none				M	D	
OR536471.1		none				M	D	
OR536474.1		none				M	D	
OR536497.1		none				M	D	
OR536498.1		none				M	D	
OR536499.1		none				M	D	
OR546391.1		none				M	D	
OR546392.1		none				M	D	
OR546394.1		none				M	D	
OR546395.1		none				M	D	
OR546396.1		none				M	D	
OR546397.1		none				M	D	
OR546398.1		none				M	D	
OR546399.1		none				M	D	
OR546400.1		none				M	D	
ON706286.1		none				M	D	
MZ292794.1		none				M	D	
MZ272053.1		none				M	D	
MZ272475.1		none				M	D	
MZ265418.1		none				M	D	
MZ265480.1		none				M	D	
MW661255.1		none				M	D	
MW661257.1		none				M	D	
MW661262.1		none				M	D	
MW661265.1		none				M	D	
MT316122.1		none				M	D	
MT158850.1		none				M	D	
MT158854.1		none				M	D	
MN199033.1		none				M	D	
MK753034.1		none				M	D	
PV275041.1		none				M	D	
PV275048.1		none				M	D	
PV275069.1		none				M	D	
PV174239.1		none				M	D	
PV174243.1		none				M	D	
PV174244.1		none				M	D	
PV174245.1		none				M	D	
OR685283.1		none				M	D	
OR069404.1		none				M	D	
OR051903.1		none				M	D	
OR065073.1		none				M	D	
OR069405.1		none				M	D	
OR069406.1		none				M	D	
LC597121.1		none				M	D	
LC597124.1		none				M	D	
LC597127.1		none				M	D	
LC597132.1		none				M	D	
MW284776.1		none				M	D	
MW284778.1		none				M	D	
MW284784.1		none				M	D	
OR793097.1		none				M	D	
OR793101.1		none				M	D	
PQ273191.1		none				M	D	
PQ507174.1		none				M	D	
PQ442935.1		none				M	D	
PQ442936.1		none				M	D	
PQ442937.1		none				M	D	
OP205577.1		none				M	D	
OP205578.1		none				M	D	
OR084261.1		none				M	D	
MT409884.1		none				M	D	
KJ710245.2		none				M	D	
PX285873.1		none				M	D	
PQ310125.2		none				M	D	
PP658555.1		none				M	D	
PP658557.1		none				M	D	
PP645199.1		none				M	D	
PP645200.1		none				M	D	
PP564826.1		none				M	D	
PP564827.1		none				M	D	
PP564828.1		none				M	D	
KC962453.2		none				M	D	
