Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ234772.1		none				M	D	
PZ240487.1		none				M	D	
PZ240506.1		none				M	D	
PX631121.1		none				M	D	
PX285874.1		none				M	D	
PX563327.1		none				M	D	
PV784272.1		none				M	D	
PV784273.1		none				M	D	
PV784275.1		none				M	D	
PV784277.1		none				M	D	
PV784279.1		none				M	D	
PV784285.1		none				M	D	
PV784287.1		none				M	D	
PV784296.1		none				M	D	
PV784297.1		none				M	D	
PV784298.1		none				M	D	
PV784302.1		none				M	D	
PV784303.1		none				M	D	
PV784304.1		none				M	D	
PV784318.1		none				M	D	
PV784323.1		none				M	D	
PV784324.1		none				M	D	
PV784331.1		none				M	D	
PV784338.1		none				M	D	
PV784344.1		none				M	D	
PV784345.1		none				M	D	
PV784347.1		none				M	D	
PV750877.1		none				M	D	
PV750882.1		none				M	D	
PV750891.1		none				M	D	
PV750894.1		none				M	D	
PV765567.1		none				M	D	
PV765571.1		none				M	D	
PV635313.1		none				M	D	
PV275040.1		none				M	D	
PV275044.1		none				M	D	
PV275045.1		none				M	D	
PV275046.1		none				M	D	
PV275052.1		none				M	D	
PV275060.1		none				M	D	
PQ213436.1		none				M	D	
PQ213437.1		none				M	D	
PQ215538.1		none				M	D	
PQ215539.1		none				M	D	
PQ215540.1		none				M	D	
PQ215541.1		none				M	D	
PQ215542.1		none				M	D	
PQ215575.1		none				M	D	
PQ215578.1		none				M	D	
PQ215579.1		none				M	D	
PQ218468.1		none				M	D	
PQ273196.1		none				M	D	
PQ304610.1		none				M	D	
PQ304611.1		none				M	D	
PQ304614.1		none				M	D	
PQ310235.1		none				M	D	
PQ310518.1		none				M	D	
PQ310519.1		none				M	D	
PQ310520.1		none				M	D	
PQ310521.1		none				M	D	
PQ310522.1		none				M	D	
PQ373120.1		none				M	D	
PQ373121.1		none				M	D	
PQ373122.1		none				M	D	
PQ373123.1		none				M	D	
PQ373124.1		none				M	D	
PQ373126.1		none				M	D	
PQ373127.1		none				M	D	
PQ373131.1		none				M	D	
PQ373132.1		none				M	D	
PQ373133.1		none				M	D	
PQ373138.1		none				M	D	
PQ373139.1		none				M	D	
PQ373140.1		none				M	D	
PQ373142.1		none				M	D	
PP498986.1		none				M	D	
PP498987.1		none				M	D	
PP498988.1		none				M	D	
PP549876.1		none				M	D	
PP549877.1		none				M	D	
PP549878.1		none				M	D	
