Genome	Probe	Amplification	Pairing and Strand direction ((+)/(-))	Strand direction	Strand check	Mismatch	Distance	Location
PZ221915.1		none				M	D	
PZ221917.1		none				M	D	
PZ221922.1		none				M	D	
PZ221927.1		none				M	D	
PZ240487.1		none				M	D	
PZ240506.1		none				M	D	
PZ136053.1		none				M	D	
PZ136058.1		none				M	D	
PX631121.1		none				M	D	
PX285872.1		none				M	D	
PX285874.1		none				M	D	
PX563327.1		none				M	D	
PV275040.1		none				M	D	
PV275044.1		none				M	D	
PV275045.1		none				M	D	
PV275046.1		none				M	D	
PV275052.1		none				M	D	
PV275060.1		none				M	D	
PQ213436.1		none				M	D	
PQ213437.1		none				M	D	
PQ215538.1		none				M	D	
PQ215539.1		none				M	D	
PQ215540.1		none				M	D	
PQ215541.1		none				M	D	
PQ215542.1		none				M	D	
PQ215578.1		none				M	D	
PQ215579.1		none				M	D	
PQ218468.1		none				M	D	
PQ273182.1		none				M	D	
PQ273184.1		none				M	D	
PQ273185.1		none				M	D	
PQ273190.1		none				M	D	
PQ273194.1		none				M	D	
PQ273195.1		none				M	D	
PQ273200.1		none				M	D	
PQ100946.1		none				M	D	
PQ100947.1		none				M	D	
PQ100948.1		none				M	D	
PQ100949.1		none				M	D	
PP498986.1		none				M	D	
PP498987.1		none				M	D	
PP498988.1		none				M	D	
PP549876.1		none				M	D	
PP549877.1		none				M	D	
PP549878.1		none				M	D	
PP549879.1		none				M	D	
PP549880.1		none				M	D	
PP549881.1		none				M	D	
PP549882.1		none				M	D	
PP549883.1		none				M	D	
PP549884.1		none				M	D	
PP549885.1		none				M	D	
PP658552.1		none				M	D	
PP658553.1		none				M	D	
PP661667.1		none				M	D	
OR844370.1		none				M	D	
OR844371.1		none				M	D	
OR844372.1		none				M	D	
OR844373.1		none				M	D	
OR844374.1		none				M	D	
OR844375.1		none				M	D	
OR844376.1		none				M	D	
OR844377.1		none				M	D	
OR844378.1		none				M	D	
OR844379.1		none				M	D	
OR844380.1		none				M	D	
OR844381.1		none				M	D	
OR844382.1		none				M	D	
OR844383.1		none				M	D	
OR262325.1		none				M	D	
OR536467.1		none				M	D	
OR536468.1		none				M	D	
OR536469.1		none				M	D	
OR536470.1		none				M	D	
OR536472.1		none				M	D	
OR536473.1		none				M	D	
OR536476.1		none				M	D	
OR536477.1		none				M	D	
OR536478.1		none				M	D	
OR536479.1		none				M	D	
OR536480.1		none				M	D	
OR536481.1		none				M	D	
OR536482.1		none				M	D	
OR536483.1		none				M	D	
OR536484.1		none				M	D	
OR536485.1		none				M	D	
OR536486.1		none				M	D	
OR536487.1		none				M	D	
OR536488.1		none				M	D	
OR536489.1		none				M	D	
OR536490.1		none				M	D	
OR536491.1		none				M	D	
OR536492.1		none				M	D	
OQ940068.1		none				M	D	
OQ940069.1		none				M	D	
OQ940070.1		none				M	D	
OQ940071.1		none				M	D	
OQ940072.1		none				M	D	
OQ940073.1		none				M	D	
OQ940074.1		none				M	D	
OQ940075.1		none				M	D	
OQ940076.1		none				M	D	
OQ940077.1		none				M	D	
OQ940078.1		none				M	D	
OQ940079.1		none				M	D	
OQ940080.1		none				M	D	
OQ940081.1		none				M	D	
OQ940082.1		none				M	D	
OP901693.1		none				M	D	
OP901694.1		none				M	D	
OQ342793.1		none				M	D	
OP689557.1		none				M	D	
OP689558.1		none				M	D	
OP690427.1		none				M	D	
OP690505.1		none				M	D	
OP712198.1		none				M	D	
OP037976.1		none				M	D	
OP037977.1		none				M	D	
OP037978.1		none				M	D	
OP037979.1		none				M	D	
OP037980.1		none				M	D	
OP037981.1		none				M	D	
OP037982.1		none				M	D	
OP037983.1		none				M	D	
ON329737.1		none				M	D	
ON569431.1		none				M	D	
OK376253.1		none				M	D	
OK376254.1		none				M	D	
OK376255.1		none				M	D	
OK376256.1		none				M	D	
OK376258.1		none				M	D	
OK376259.1		none				M	D	
OK376260.1		none				M	D	
OK376261.1		none				M	D	
OK376262.1		none				M	D	
OK376263.1		none				M	D	
OK376264.1		none				M	D	
OL451532.1		none				M	D	
OL451533.1		none				M	D	
OL898507.1		none				M	D	
OL898508.1		none				M	D	
OL898509.1		none				M	D	
OL898510.1		none				M	D	
OL898512.1		none				M	D	
OL898514.1		none				M	D	
OL898515.1		none				M	D	
OL898516.1		none				M	D	
OL913975.1		none				M	D	
OL913976.1		none				M	D	
OL913977.1		none				M	D	
OL943799.1		none				M	D	
OL943800.1		none				M	D	
OL943801.1		none				M	D	
NC_039477.1		none				M	D	
MZ233536.1		none				M	D	
MW661246.1		none				M	D	
MW661264.1		none				M	D	
MW661273.1		none				M	D	
MW661278.1		none				M	D	
MW661281.1		none				M	D	
MW661282.1		none				M	D	
MT712130.1		none				M	D	
MT712147.1		none				M	D	
MT712157.1		none				M	D	
MT724793.1		none				M	D	
MT725762.1		none				M	D	
MT726225.1		none				M	D	
MT731332.1		none				M	D	
MT738527.1		none				M	D	
MT755733.1		none				M	D	
MN897754.1		none				M	D	
MN897755.1		none				M	D	
MN897756.1		none				M	D	
MT026582.1		none				M	D	
MT028542.1		none				M	D	
MT029316.1		none				M	D	
MT031761.1		none				M	D	
MT031821.1		none				M	D	
MT032004.1		none				M	D	
MT238671.1		none				M	D	
MN400355.2		none				M	D	
MN447470.1		none				M	D	
MN447471.1		none				M	D	
MN453358.1		none				M	D	
MN453359.1		none				M	D	
MN525276.1		none				M	D	
MK752935.1		none				M	D	
MK752936.1		none				M	D	
MK752938.1		none				M	D	
MK753015.1		none				M	D	
MK753032.1		none				M	D	
MK762621.1		none				M	D	
MK762624.1		none				M	D	
MK762635.1		none				M	D	
MK762638.1		none				M	D	
MK764016.1		none				M	D	
MK764040.1		none				M	D	
MK773584.1		none				M	D	
MK789435.1		none				M	D	
MK934772.1		none				M	D	
MK629457.1		none				M	D	
MK483908.2		none				M	D	
MK483909.2		none				M	D	
MH979229.1		none				M	D	
MH979230.1		none				M	D	
MH413070.1		none				M	D	
MH671553.1		none				M	D	
MH218570.1		none				M	D	
MH218572.1		none				M	D	
MH218573.1		none				M	D	
MH218574.1		none				M	D	
MH218575.1		none				M	D	
MH218576.1		none				M	D	
MH218577.1		none				M	D	
MH218578.1		none				M	D	
MH218579.1		none				M	D	
MH218580.1		none				M	D	
MH218581.1		none				M	D	
MH218582.1		none				M	D	
MH218583.1		none				M	D	
MH218584.1		none				M	D	
MH218585.1		none				M	D	
MH218586.1		none				M	D	
MH218587.1		none				M	D	
MH218588.1		none				M	D	
MH218589.1		none				M	D	
MH218590.1		none				M	D	
MH218592.1		none				M	D	
MH218593.1		none				M	D	
MH218594.1		none				M	D	
MH218595.1		none				M	D	
MH218596.1		none				M	D	
MH218597.1		none				M	D	
MH218598.1		none				M	D	
MH218599.1		none				M	D	
MH218600.1		none				M	D	
MH218601.1		none				M	D	
MH218602.1		none				M	D	
MH218603.1		none				M	D	
MH218604.1		none				M	D	
MH218606.1		none				M	D	
MH218607.1		none				M	D	
MH218608.1		none				M	D	
MH218609.1		none				M	D	
MH218610.1		none				M	D	
MH218611.1		none				M	D	
MH218612.1		none				M	D	
MH218613.1		none				M	D	
MH218615.1		none				M	D	
MH218616.1		none				M	D	
MH218617.1		none				M	D	
MH218618.1		none				M	D	
MH218619.1		none				M	D	
MH218624.1		none				M	D	
MH218625.1		none				M	D	
MH218626.1		none				M	D	
MH218627.1		none				M	D	
MH218628.1		none				M	D	
MH218629.1		none				M	D	
MH218630.1		none				M	D	
MH218631.1		none				M	D	
MH218632.1		none				M	D	
MH218633.1		none				M	D	
MH218636.1		none				M	D	
MH218638.1		none				M	D	
MH218641.1		none				M	D	
MH218646.1		none				M	D	
MH218652.1		none				M	D	
MH218653.1		none				M	D	
MH218654.1		none				M	D	
MH218655.1		none				M	D	
MH218657.1		none				M	D	
MH218660.1		none				M	D	
MH218661.1		none				M	D	
MH218662.1		none				M	D	
MH218663.1		none				M	D	
MH218665.1		none				M	D	
MH218668.1		none				M	D	
MH218669.1		none				M	D	
MH218670.1		none				M	D	
MH218671.1		none				M	D	
MH218672.1		none				M	D	
MH218674.1		none				M	D	
MH218675.1		none				M	D	
MH218676.1		none				M	D	
MH218677.1		none				M	D	
MH218678.1		none				M	D	
MH218679.1		none				M	D	
MH218680.1		none				M	D	
MH218681.1		none				M	D	
MH218682.1		none				M	D	
MH218683.1		none				M	D	
MH218684.1		none				M	D	
MH218685.1		none				M	D	
MH218686.1		none				M	D	
MH218688.1		none				M	D	
MH218690.1		none				M	D	
MH218691.1		none				M	D	
MH218692.1		none				M	D	
MH218693.1		none				M	D	
MH218694.1		none				M	D	
MH218695.1		none				M	D	
MH218696.1		none				M	D	
MH218697.1		none				M	D	
MH218699.1		none				M	D	
MH218700.1		none				M	D	
MH218701.1		none				M	D	
MH218702.1		none				M	D	
MH218705.1		none				M	D	
MH218707.1		none				M	D	
MH218708.1		none				M	D	
MH218709.1		none				M	D	
MH218710.1		none				M	D	
MH218711.1		none				M	D	
MH218712.1		none				M	D	
MH218714.1		none				M	D	
MH218715.1		none				M	D	
MH218716.1		none				M	D	
MH218717.1		none				M	D	
MH218718.1		none				M	D	
MH218732.1		none				M	D	
MH218733.1		none				M	D	
MH218734.1		none				M	D	
MH218735.1		none				M	D	
MH218736.1		none				M	D	
MH218737.1		none				M	D	
MH218738.1		none				M	D	
MH321825.1		none				M	D	
MG892929.3		none				M	D	
MG892946.3		none				M	D	
MG892953.3		none				M	D	
MG892974.3		none				M	D	
MG745985.1		none				M	D	
MG745986.1		none				M	D	
MG745987.1		none				M	D	
MG745988.1		none				M	D	
MG745989.1		none				M	D	
MG745990.1		none				M	D	
MG745991.1		none				M	D	
MG745992.1		none				M	D	
MG745993.1		none				M	D	
MG745994.1		none				M	D	
MG745995.1		none				M	D	
MG745996.1		none				M	D	
MG745997.1		none				M	D	
MG745998.1		none				M	D	
MG745999.1		none				M	D	
MG746000.1		none				M	D	
MG746001.1		none				M	D	
MG746002.1		none				M	D	
MG746003.1		none				M	D	
MG746004.1		none				M	D	
MG746005.1		none				M	D	
MG746006.1		none				M	D	
MG746007.1		none				M	D	
MG746008.1		none				M	D	
MG746009.1		none				M	D	
MG746010.1		none				M	D	
MG746011.1		none				M	D	
MG746012.1		none				M	D	
MG746013.1		none				M	D	
MG746014.1		none				M	D	
MG746015.1		none				M	D	
MG746016.1		none				M	D	
MG746017.1		none				M	D	
MG746018.1		none				M	D	
MG746019.1		none				M	D	
MG746020.1		none				M	D	
MG746021.1		none				M	D	
MG746022.1		none				M	D	
MG746023.1		none				M	D	
MG746024.1		none				M	D	
MG746025.1		none				M	D	
MG746026.1		none				M	D	
MG746027.1		none				M	D	
MG746028.1		none				M	D	
MG746029.1		none				M	D	
MG746030.1		none				M	D	
MG746031.1		none				M	D	
MG746032.1		none				M	D	
MG746033.1		none				M	D	
MG746034.1		none				M	D	
MG746035.1		none				M	D	
MG746036.1		none				M	D	
MG746037.1		none				M	D	
MG746038.1		none				M	D	
MG746039.1		none				M	D	
MG746040.1		none				M	D	
MG746041.1		none				M	D	
MG746042.1		none				M	D	
MG746043.1		none				M	D	
MG746044.1		none				M	D	
MG746045.1		none				M	D	
MG049692.1		none				M	D	
MG548737.1		none				M	D	
MG572182.1		none				M	D	
MG572719.1		none				M	D	
MG572730.1		none				M	D	
MG572731.1		none				M	D	
MG572732.1		none				M	D	
MF352142.1		none				M	D	
MF352143.1		none				M	D	
MF352144.1		none				M	D	
LC769682.1		none				M	D	
LC769683.1		none				M	D	
LC769684.1		none				M	D	
LC769685.1		none				M	D	
LC769688.1		none				M	D	
LC769689.1		none				M	D	
LC769691.1		none				M	D	
LC769692.1		none				M	D	
LC769693.1		none				M	D	
LC769694.1		none				M	D	
LC769695.1		none				M	D	
LC769696.1		none				M	D	
LC769697.1		none				M	D	
LC769698.1		none				M	D	
LC769699.1		none				M	D	
LC769702.1		none				M	D	
LC769704.1		none				M	D	
LC769705.1		none				M	D	
LC769706.1		none				M	D	
LC769707.1		none				M	D	
LC769708.1		none				M	D	
LC769709.1		none				M	D	
LC769712.1		none				M	D	
LC769713.1		none				M	D	
LC769714.1		none				M	D	
LC769715.1		none				M	D	
LC777250.1		none				M	D	
LC342059.1		none				M	D	
KY905331.1		none				M	D	
KY496327.1		none				M	D	
KY210980.3		none				M	D	
KX586330.1		none				M	D	
KT779557.1		none				M	D	
KF895841.2		none				M	D	
KF920739.4		none				M	D	
KF944110.2		none				M	D	
KF944111.3		none				M	D	
GU292831.4		none				M	D	
PZ136054.1		none				M	D	
PZ136057.1		none				M	D	
PV843276.1		none				M	D	
PV806172.1		none				M	D	
PV806173.1		none				M	D	
PV806174.1		none				M	D	
PV746275.1		none				M	D	
PV746276.1		none				M	D	
PV746277.1		none				M	D	
PV746278.1		none				M	D	
PV636607.1		none				M	D	
PQ461161.1		none				M	D	
PP498989.1		none				M	D	
OR536471.1		none				M	D	
OR536474.1		none				M	D	
OR536497.1		none				M	D	
OR536498.1		none				M	D	
OR536499.1		none				M	D	
PP381831.1		none				M	D	
OR397766.1		none				M	D	
OR397767.1		none				M	D	
OR397768.1		none				M	D	
OR397769.1		none				M	D	
OR397770.1		none				M	D	
OR397771.1		none				M	D	
OR397772.1		none				M	D	
OR397773.1		none				M	D	
OR397774.1		none				M	D	
OR397775.1		none				M	D	
OR397776.1		none				M	D	
OR397777.1		none				M	D	
OR397778.1		none				M	D	
OR397779.1		none				M	D	
OR397780.1		none				M	D	
OR397781.1		none				M	D	
OR397782.1		none				M	D	
OR397783.1		none				M	D	
OR397784.1		none				M	D	
OR397785.1		none				M	D	
OR397786.1		none				M	D	
OR397787.1		none				M	D	
OR397788.1		none				M	D	
MW581004.1		none				M	D	
MW581005.1		none				M	D	
MW581006.1		none				M	D	
MW581007.1		none				M	D	
MW581008.1		none				M	D	
MW581009.1		none				M	D	
MW581010.1		none				M	D	
MW581011.1		none				M	D	
MW581012.1		none				M	D	
MZ292759.1		none				M	D	
MZ291626.1		none				M	D	
MZ291634.1		none				M	D	
MZ233435.1		none				M	D	
MW661247.1		none				M	D	
MW661251.1		none				M	D	
MW661252.1		none				M	D	
MW661254.1		none				M	D	
MW661255.1		none				M	D	
MW661258.1		none				M	D	
MW661259.1		none				M	D	
MW661260.1		none				M	D	
MW661261.1		none				M	D	
MW661262.1		none				M	D	
MW661265.1		none				M	D	
MW661277.1		none				M	D	
MW661279.1		none				M	D	
MW661280.1		none				M	D	
MW661283.1		none				M	D	
MT218311.1		none				M	D	
MT316122.1		none				M	D	
MT158851.1		none				M	D	
MT158852.1		none				M	D	
MT158853.1		none				M	D	
MT158854.1		none				M	D	
MT158855.1		none				M	D	
MT158856.1		none				M	D	
MT158857.1		none				M	D	
MT158858.1		none				M	D	
MT158859.1		none				M	D	
MT158862.1		none				M	D	
MN394542.1		none				M	D	
MN307993.1		none				M	D	
MN307995.1		none				M	D	
MN307996.1		none				M	D	
MN307997.1		none				M	D	
MN307998.1		none				M	D	
MN307999.1		none				M	D	
MN308001.1		none				M	D	
MN308002.1		none				M	D	
MN308003.1		none				M	D	
MN308008.1		none				M	D	
MN308010.1		none				M	D	
MN308012.1		none				M	D	
MN308014.1		none				M	D	
MN308015.1		none				M	D	
MN308017.1		none				M	D	
MN308018.1		none				M	D	
MN308019.1		none				M	D	
MN308020.1		none				M	D	
MN199033.1		none				M	D	
MK614124.1		none				M	D	
MK614125.1		none				M	D	
MK614126.1		none				M	D	
MK614127.1		none				M	D	
MK614128.1		none				M	D	
MK614129.1		none				M	D	
MK614130.1		none				M	D	
MK614131.1		none				M	D	
MK614132.1		none				M	D	
MK614133.1		none				M	D	
MK614134.1		none				M	D	
MK614135.1		none				M	D	
MK614136.1		none				M	D	
MK614137.1		none				M	D	
MK775029.1		none				M	D	
MK775032.1		none				M	D	
MK773585.1		none				M	D	
MK773587.1		none				M	D	
MK762558.1		none				M	D	
MK762564.1		none				M	D	
MK762566.1		none				M	D	
MK762568.1		none				M	D	
MK762626.1		none				M	D	
MK762627.1		none				M	D	
MK762629.1		none				M	D	
MK762632.1		none				M	D	
MK762633.1		none				M	D	
MK762636.1		none				M	D	
MK762637.1		none				M	D	
MK762746.1		none				M	D	
MK764013.1		none				M	D	
MK764015.1		none				M	D	
MK764021.1		none				M	D	
MK764022.1		none				M	D	
MK764039.1		none				M	D	
MK764041.1		none				M	D	
MH041321.1		none				M	D	
MH041322.1		none				M	D	
MK752934.1		none				M	D	
MK752937.1		none				M	D	
MK752939.1		none				M	D	
MK752941.1		none				M	D	
MK752942.1		none				M	D	
MK753007.1		none				M	D	
MK753012.1		none				M	D	
MK753016.1		none				M	D	
MK753035.1		none				M	D	
MK753036.1		none				M	D	
MK754442.1		none				M	D	
MK754445.1		none				M	D	
MK754447.1		none				M	D	
MK756034.1		none				M	D	
MK756035.1		none				M	D	
MK729086.1		none				M	D	
MG214988.1		none				M	D	
MG002632.1		none				M	D	
MG002634.1		none				M	D	
PQ196508.1		none				M	D	
PQ196514.1		none				M	D	
PQ196516.1		none				M	D	
PQ196517.1		none				M	D	
PQ196518.1		none				M	D	
PQ196520.1		none				M	D	
PQ196528.1		none				M	D	
PQ196529.1		none				M	D	
PQ196561.1		none				M	D	
PQ196562.1		none				M	D	
PV297973.1		none				M	D	
PV275055.1		none				M	D	
PV275057.1		none				M	D	
PV275059.1		none				M	D	
OR700746.1		none				M	D	
OR069404.1		none				M	D	
OR051787.1		none				M	D	
OR051927.1		none				M	D	
OR065073.1		none				M	D	
OR065090.1		none				M	D	
MZ478140.1		none				M	D	
OL826940.1		none				M	D	
OL826941.1		none				M	D	
OL826942.1		none				M	D	
OL826943.1		none				M	D	
OL721917.1		none				M	D	
LC597132.1		none				M	D	
MT735394.1		none				M	D	
MN588299.1		none				M	D	
MN588300.1		none				M	D	
MN588301.1		none				M	D	
MN588302.1		none				M	D	
MN588303.1		none				M	D	
MN588304.1		none				M	D	
MN588305.1		none				M	D	
MN588306.1		none				M	D	
MN588307.1		none				M	D	
KY865306.1		none				M	D	
KY865307.1		none				M	D	
KY947546.1		none				M	D	
KY947547.1		none				M	D	
KY947550.1		none				M	D	
PX631122.1		none				M	D	
OR793082.1		none				M	D	
OR793086.1		none				M	D	
OR793087.1		none				M	D	
OR793088.1		none				M	D	
OR793089.1		none				M	D	
OR793090.1		none				M	D	
OR793091.1		none				M	D	
OR793092.1		none				M	D	
OR793093.1		none				M	D	
OR793094.1		none				M	D	
OR793098.1		none				M	D	
OR793099.1		none				M	D	
OR793100.1		none				M	D	
OR793101.1		none				M	D	
PQ475911.1		none				M	D	
PQ482378.1		none				M	D	
PQ273192.1		none				M	D	
PQ195879.1		none				M	D	
PQ195881.1		none				M	D	
PQ195882.1		none				M	D	
PQ195883.1		none				M	D	
PQ195885.1		none				M	D	
PQ195886.1		none				M	D	
PQ195887.1		none				M	D	
PQ195888.1		none				M	D	
PQ195889.1		none				M	D	
PQ195890.1		none				M	D	
PQ195892.1		none				M	D	
PQ195894.1		none				M	D	
PQ195895.1		none				M	D	
PQ195899.1		none				M	D	
PQ195900.1		none				M	D	
PQ195901.1		none				M	D	
PQ195902.1		none				M	D	
PQ195903.1		none				M	D	
PQ195908.1		none				M	D	
PQ195909.1		none				M	D	
PQ195910.1		none				M	D	
PQ195911.1		none				M	D	
PQ195912.1		none				M	D	
PQ195913.1		none				M	D	
PQ195914.1		none				M	D	
PQ195915.1		none				M	D	
PQ195916.1		none				M	D	
PQ195917.1		none				M	D	
PQ195919.1		none				M	D	
PQ195920.1		none				M	D	
PQ195921.1		none				M	D	
PQ195922.1		none				M	D	
PQ195923.1		none				M	D	
PQ195924.1		none				M	D	
PQ195925.1		none				M	D	
PQ195926.1		none				M	D	
PQ195927.1		none				M	D	
PQ195928.1		none				M	D	
PQ195929.1		none				M	D	
PQ195930.1		none				M	D	
PQ195931.1		none				M	D	
PQ195932.1		none				M	D	
PQ195933.1		none				M	D	
PQ195934.1		none				M	D	
PQ195935.1		none				M	D	
PQ195936.1		none				M	D	
PQ195937.1		none				M	D	
PQ195938.1		none				M	D	
PQ195939.1		none				M	D	
PQ195940.1		none				M	D	
PQ195942.1		none				M	D	
PQ195943.1		none				M	D	
PQ195944.1		none				M	D	
